latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_file,pull_type,brightness,bright_t31,type
36.6107,4.1905,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,71.0,N,firms_modis_sp_kabylie_aug_2021.csv,historical,341.0,305.0,0.0
36.6091,4.1743,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,88.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,346.4,306.3,0.0
36.6078,5.2659,,1.8,1.3,2021-08-09,2207,Terra,MODIS,95,6.03,,22.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,318.0,303.7,0.0
36.6075,4.1576,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,137.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,358.4,308.7,0.0
36.6057,4.1396,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,140.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,358.9,307.7,0.0
36.6038,4.1205,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,418.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,396.6,310.2,0.0
36.6131,4.1018,,1.5,1.2,2021-08-09,2207,Terra,MODIS,72,6.03,,9.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,314.6,301.6,0.0
34.9953,0.99675,339.32,0.6,0.53,2021-08-09,1218,N,VIIRS,n,2,300.27,20.84,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.96616,4.9956,345.01,0.53,0.42,2021-08-09,1218,N,VIIRS,n,2,318.41,5.99,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.28728,5.20477,367.0,0.52,0.41,2021-08-09,1218,N,VIIRS,h,2,333.53,82.3,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47345,3.2992,354.07,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,306.91,35.61,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47303,3.11194,344.08,0.43,0.46,2021-08-09,1218,N,VIIRS,n,2,303.51,7.41,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47262,3.29143,336.17,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,305.68,3.15,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47253,3.31103,348.98,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,306.91,15.44,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.4725,3.29471,342.22,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,307.17,3.01,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47232,3.31445,334.52,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,305.6,7.91,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47205,3.10743,346.12,0.43,0.46,2021-08-09,1218,N,VIIRS,n,2,302.76,9.95,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47161,3.12567,340.69,0.43,0.46,2021-08-09,1218,N,VIIRS,n,2,306.15,5.15,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.4714,3.31009,351.24,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,308.99,7.91,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47108,3.10294,349.75,0.43,0.46,2021-08-09,1218,N,VIIRS,n,2,300.7,9.95,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.4707,3.12149,346.39,0.43,0.46,2021-08-09,1218,N,VIIRS,n,2,305.25,5.15,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.47059,3.3021,354.42,0.42,0.45,2021-08-09,1218,N,VIIRS,n,2,312.22,52.03,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
